Player	Salary	Year
Patrick Ewing	$4,250,000	1990
Hot Rod Williams	$3,785,000	1990
Hakeem Olajuwon	$3,175,000	1990
Charles Barkley	$2,900,000	1990
Chris Mullin	$2,850,000	1990
Isiah Thomas	$2,720,000	1990
Danny Ferry	$2,640,000	1990
Michael Jordan	$2,500,000	1990
Robert Parish	$2,500,000	1990
Moses Malone	$2,406,000	1990
Magic Johnson	$2,400,000	1990
Wayman Tisdale	$2,330,000	1990
Pervis Ellison	$2,300,000	1990
David Robinson	$2,265,000	1990
Karl Malone	$2,260,000	1990
Ralph Sampson	$2,250,000	1990
Danny Manning	$2,200,000	1990
Blair Rasmussen	$2,185,000	1990
Chuck Person	$2,150,000	1990
Derrick Coleman	$2,100,000	1990
Dominique Wilkins	$2,065,000	1990
Tom Chambers	$2,060,000	1990
Mark Eaton	$2,000,000	1990
John Stockton	$2,000,000	1990
Terry Porter	$2,000,000	1990
Willie Burton	$2,000,000	1990
LaSalle Thompson	$2,000,000	1990
Sam Bowie	$2,000,000	1990
Sam Perkins	$1,970,000	1990
Terry Cummings	$1,860,000	1990
Sean Elliott	$1,800,000	1990
Mark Jackson	$1,785,000	1990
Otis Thorpe	$1,760,000	1990
Kevin Johnson	$1,750,000	1990
Benoit Benjamin	$1,750,000	1990
A.C. Green	$1,750,000	1990
Kevin Duckworth	$1,710,000	1990
Alton Lister	$1,700,000	1990
Gary Payton	$1,685,000	1990
Mahmoud Abdul-Rauf	$1,660,000	1990
Rolando Blackman	$1,650,000	1990
Mike Gminski	$1,650,000	1990
Bernard King	$1,600,000	1990
Jack Sikma	$1,600,000	1990
Alec Kessler	$1,600,000	1990
James Worthy	$1,600,000	1990
Dennis Scott	$1,560,000	1990
Buck Williams	$1,550,000	1990
Glen Rice	$1,550,000	1990
Jon Koncak	$1,550,000	1990
Fat Lever	$1,519,000	1990
Derek Harper	$1,519,000	1990
Bill Laimbeer	$1,510,000	1990
Johnny Dawkins	$1,500,000	1990
Danny Schayes	$1,500,000	1990
Alex English	$1,500,000	1990
Kendall Gill	$1,500,000	1990
Larry Bird	$1,500,000	1990
Xavier McDaniel	$1,400,000	1990
Sleepy Floyd	$1,400,000	1990
Vinnie Johnson	$1,400,000	1990
Mark Price	$1,400,000	1990
Kevin McHale	$1,400,000	1990
Ron Harper	$1,365,000	1990
Greg Anderson	$1,365,000	1990
Rik Smits	$1,350,000	1990
Rick Mahorn	$1,330,000	1990
Brad Daugherty	$1,320,000	1990
Manute Bol	$1,300,000	1990
Brad Lohaus	$1,275,000	1990
Sarunas Marciulionis	$1,270,000	1990
Larry Nance	$1,260,000	1990
Dale Ellis	$1,250,000	1990
J.R. Reid	$1,250,000	1990
Roy Hinson	$1,250,000	1990
Jim Petersen	$1,235,000	1990
Brian Shaw	$1,212,000	1990
Armen Gilliam	$1,200,000	1990
Tony Campbell	$1,200,000	1990
Johnny Newman	$1,200,000	1990
Drazen Petrovic	$1,200,000	1990
Clyde Drexler	$1,180,000	1990
Detlef Schrempf	$1,160,000	1990
Randy Breuer	$1,150,000	1990
Mark Aguirre	$1,115,000	1990
Wayne Cooper	$1,100,000	1990
Jeff Hornacek	$1,100,000	1990
Ricky Pierce	$1,100,000	1990
Byron Scott	$1,100,000	1990
Bill Cartwright	$1,100,000	1990
Terry Catledge	$1,085,000	1990
Felton Spencer	$1,070,000	1990
Charles Oakley	$1,050,000	1990
Ken Norman	$1,050,000	1990
Joe Dumars	$1,035,000	1990
Kiki Vandeweghe	$1,025,000	1990
John Williams	$1,000,000	1990
Thurl Bailey	$1,000,000	1990
Hersey Hawkins	$1,000,000	1990
Eddie Johnson	$1,000,000	1990
Maurice Cheeks	$1,000,000	1990
Charles Smith	$1,000,000	1990
Tyrone Hill	$1,000,000	1990
Herb Williams	$1,000,000	1990
Stacey King	$1,000,000	1990
Horace Grant	$1,000,000	1990
Kelly Tripucka	$1,000,000	1990
Joe Wolf	$990,000	1990
Rodney McCray	$985,000	1990
Sam Vincent	$980,000	1990
Derrick McKey	$962,000	1990
Bo Kimble	$950,000	1990
Chris Dudley	$950,000	1990
George McCloud	$940,000	1990
James Edwards	$935,000	1990
Lionel Simmons	$930,000	1990
Craig Ehlo	$925,000	1990
Jeff Malone	$915,000	1990
Dennis Hopson	$915,000	1990
Michael Cage	$910,000	1990
Frank Brickowski	$905,000	1990
Paul Pressey	$900,000	1990
Walter Davis	$900,000	1990
Kurt Rambis	$900,000	1990
Lester Conner	$900,000	1990
Dell Curry	$900,000	1990
Doc Rivers	$895,000	1990
Dennis Rodman	$880,000	1990
James Donaldson	$880,000	1990
Mark West	$875,000	1990
Kenny Walker	$875,000	1990
Alvin Robertson	$870,000	1990
Darrell Griffith	$850,000	1990
Mitch Richmond	$850,000	1990
William Bedford	$850,000	1990
Joe Kleine	$850,000	1990
Sidney Green	$837,000	1990
Trent Tucker	$835,000	1990
Tyrone Corbin	$830,000	1990
Loy Vaught	$825,000	1990
Michael Adams	$825,000	1990
Orlando Woolridge	$805,000	1990
Muggsy Bogues	$805,000	1990
Tom Hammonds	$800,000	1990
Travis Mays	$800,000	1990
Larry Smith	$800,000	1990
Tree Rollins	$800,000	1990
Rumeal Robinson	$800,000	1990
Tim McCormick	$775,000	1990
Vlade Divac	$770,000	1990
Roy Tarpley	$765,000	1990
Scottie Pippen	$765,000	1990
Reggie Theus	$765,000	1990
Mike Sanders	$760,000	1990
Rony Seikaly	$755,000	1990
David Wingate	$750,000	1990
Cliff Levingston	$750,000	1990
Chris Morris	$750,000	1990
Ed Pinckney	$750,000	1990
Randy White	$730,000	1990
Willie Anderson	$725,000	1990
Danny Ainge	$725,000	1990
Nick Anderson	$725,000	1990
Gerald Wilkins	$725,000	1990
Bill Wennington	$700,000	1990
Kenny Smith	$700,000	1990
Fred Roberts	$690,000	1990
Kevin Willis	$685,000	1990
Charles Jones	$675,000	1990
Tim Perry	$675,000	1990
Buck Johnson	$675,000	1990
Rex Chapman	$675,000	1990
Vern Fleming	$667,000	1990
Nate McMillan	$658,000	1990
Reggie Miller	$654,000	1990
Mike Brown	$650,000	1990
Dave Greenwood	$650,000	1990
Duane Causwell	$650,000	1990
Sedale Threatt	$650,000	1990
Jay Humphries	$650,000	1990
Dave Jamerson	$650,000	1990
Alexander Volkov	$650,000	1990
Chucky Brown	$630,000	1990
Pooh Richardson	$615,000	1990
Mychal Thompson	$615,000	1990
Darrell Walker	$610,000	1990
Antoine Carr	$610,000	1990
Ledell Eackles	$605,000	1990
Larry Krystkowiak	$605,000	1990
Jeff Grayer	$605,000	1990
Andrew Lang	$600,000	1990
Olden Polynice	$600,000	1990
Brad Davis	$600,000	1990
Craig Hodges	$600,000	1990
Terry Mills	$600,000	1990
Tod Murphy	$590,000	1990
John Battle	$590,000	1990
Gerald Glass	$575,000	1990
Elden Campbell	$575,000	1990
John Salley	$575,000	1990
Jerrod Mustaf	$565,000	1990
Todd Lichti	$565,000	1990
Bob Hansen	$550,000	1990
Jerome Kersey	$550,000	1990
Ed Nealy	$550,000	1990
Terry Teagle	$550,000	1990
Larry Drew	$550,000	1990
John Bagley	$550,000	1990
Steve Kerr	$548,000	1990
Dee Brown	$547,000	1990
Gary Grant	$530,000	1990
Winston Bennett	$525,000	1990
Derrick Chievous	$525,000	1990
Mookie Blaylock	$525,000	1990
Michael Smith	$525,000	1990
Dwayne Schintzius	$520,000	1990
Bill Hanzlik	$510,000	1990
Spud Webb	$510,000	1990
Sidney Moncrief	$510,000	1990
Les Jepsen	$505,000	1990
Mark Alarie	$500,000	1990
Jayson Williams	$500,000	1990
Dana Barros	$500,000	1990
Sam Mitchell	$500,000	1990
Randy Wittman	$500,000	1990
Rod Higgins	$500,000	1990
Tim Hardaway	$500,000	1990
Jerome Lane	$500,000	1990
Eric Leckner	$485,000	1990
Greg Kite	$480,000	1990
Harvey Grant	$475,000	1990
Negele Knight	$468,000	1990
Brian Oliver	$455,000	1990
Danny Young	$450,000	1990
Otis Smith	$450,000	1990
Jerry Reynolds	$450,000	1990
Winston Garland	$450,000	1990
Scott Hastings	$450,000	1990
Will Perdue	$450,000	1990
Mark Acres	$437,000	1990
Dan Majerle	$430,000	1990
Ron Anderson	$425,000	1990
Quintin Dailey	$425,000	1990
Kevin Edwards	$425,000	1990
BJ Armstrong	$425,000	1990
Jeff Turner	$410,000	1990
Tate George	$410,000	1990
Scott Skiles	$408,000	1990
Mark Bryant	$405,000	1990
Tom Tolbert	$405,000	1990
Rod Strickland	$400,000	1990
Kenny Payne	$400,000	1990
Dave Hoppen	$400,000	1990
Eddie Lee Wilkins	$400,000	1990
Adrian Dantley	$400,000	1990
Billy Thompson	$400,000	1990
Ken Bannister	$400,000	1990
Reggie Lewis	$400,000	1990
Alaa Abdelnaby	$395,000	1990
John Paxson	$385,000	1990
Byron Irvin	$375,000	1990
Kevin Gamble	$375,000	1990
Anthony Cook	$370,000	1990
Lance Blanks	$365,000	1990
Blue Edwards	$360,000	1990
Brian Quinnett	$360,000	1990
Jack Haley	$360,000	1990
Kenny Gattison	$355,000	1990
Joe Barry Carroll	$350,000	1990
Shawn Kemp	$350,000	1990
Kenny Battle	$350,000	1990
John Morton	$350,000	1990
Morlon Wiley	$347,000	1990
Tom Garrick	$340,000	1990
Bob Thornton	$335,000	1990
Jon Sundvold	$335,000	1990
Sherman Douglas	$325,000	1990
Mike Smrek	$325,000	1990
Micheal Williams	$325,000	1990
Randolph Keys	$322,000	1990
Derek Smith	$315,000	1990
Steve Colter	$300,000	1990
Rory Sparrow	$300,000	1990
Scott Meents	$300,000	1990
Dave Corzine	$300,000	1990
Greg Grant	$300,000	1990
Grant Long	$300,000	1990
Greg Dreiling	$300,000	1990
David Wood	$300,000	1990
Scott Brooks	$295,000	1990
Bimbo Coles	$290,000	1990
Greg Foster	$275,000	1990
A.J. English	$275,000	1990
Dave Feitl	$275,000	1990
Adrian Caldwell	$275,000	1990
Cliff Robinson	$250,000	1990
Terry Davis	$250,000	1990
Vernon Maxwell	$250,000	1990
Steve Alford	$250,000	1990
Doug West	$230,000	1990
Walter Palmer	$225,000	1990
Frank Kornet	$225,000	1990
Jud Buechler	$225,000	1990
Stojko Vrankovic	$222,000	1990
Delaney Rudd	$215,000	1990
Jeff Martin	$210,000	1990
Marcus Liberty	$210,000	1990
Michael Ansley	$200,000	1990
Milos Babic	$200,000	1990
Steve Scheffler	$200,000	1990
Gary Leonard	$200,000	1990
Kevin Pritchard	$185,000	1990
Cedric Ceballos	$175,000	1990
Kenny Williams	$175,000	1990
Derrick Gervin	$155,000	1990
Tony Massenburg	$150,000	1990
Sean Higgins	$150,000	1990
Richard Coffey	$150,000	1990
Keith Askins	$150,000	1990
John Long	$150,000	1990
John Shasky	$150,000	1990
Scott Williams	$150,000	1990
Ian Lockhart	$130,000	1990
Alan Ogg	$130,000	1990
Rick Calloway	$125,000	1990
Gerald Henderson	$125,000	1990
Duane Ferrell	$125,000	1990
Haywoode Workman	$120,000	1990
Andy Toolson	$120,000	1990
Rickey Green	$120,000	1990
John Starks	$120,000	1990
Steve Henson	$120,000	1990
Irving Thomas	$120,000	1990
Tony Smith	$120,000	1990
Kennard Winchester	$120,000	1990
Matt Bullard	$120,000	1990
Gerald Paddio	$120,000	1990
Kurk Lee	$120,000	1990
Jim Grandholm	$115,000	1990
Andre Turner	$110,000	1990
Paul Mokeski	$100,000	1990
Darnell Valentine	$100,000	1990
Dave Popson	$80,000	1990
Henry James	$75,000	1990
Scott Haffner	$75,000	1990
Tony Brown	$50,000	1990
Alan Bannister	$50,000	1990
Avery Johnson	$50,000	1990
Mario Elie	$50,000	1990
Anthony Frederick	$30,000	1990
Kelvin Upshaw	$30,000	1990
A.J. Wynder	$30,000	1990
Larry Bird	$7,070,000	1991
Hot Rod Williams	$3,786,000	1991
Kevin McHale	$3,500,000	1991
Reggie Lewis	$3,340,000	1991
Michael Jordan	$3,250,000	1991
Reggie Miller	$3,211,000	1991
Charles Barkley	$3,200,000	1991
Hakeem Olajuwon	$3,170,000	1991
Patrick Ewing	$3,139,000	1991
Dominique Wilkins	$3,100,000	1991
Robert Parish	$3,000,000	1991
Isiah Thomas	$2,960,000	1991
Benoit Benjamin	$2,875,000	1991
Chris Mullin	$2,844,000	1991
Danny Ferry	$2,843,000	1991
Scottie Pippen	$2,770,000	1991
Ralph Sampson	$2,685,000	1991
Karl Malone	$2,556,000	1991
Bernard King	$2,525,000	1991
Sam Perkins	$2,507,000	1991
Magic Johnson	$2,500,000	1991
Wayman Tisdale	$2,333,000	1991
Pervis Ellison	$2,300,000	1991
Danny Manning	$2,300,000	1991
Derrick Coleman	$2,300,000	1991
Tom Chambers	$2,275,000	1991
Steve Smith	$2,250,000	1991
Brad Daugherty	$2,245,000	1991
David Robinson	$2,240,000	1991
Chuck Person	$2,156,000	1991
John Stockton	$2,100,000	1991
Kevin Duckworth	$2,013,000	1991
Mahmoud Abdul-Rauf	$2,008,000	1991
Dikembe Mutombo	$2,005,000	1991
Rony Seikaly	$2,002,000	1991
LaSalle Thompson	$2,000,000	1991
John Salley	$2,000,000	1991
Bill Cartwright	$2,000,000	1991
Sam Bowie	$2,000,000	1991
Jon Koncak	$2,000,000	1991
Dennis Scott	$1,980,000	1991
Larry Johnson	$1,955,000	1991
Kevin Johnson	$1,950,000	1991
Scott Skiles	$1,925,000	1991
Rolando Blackman	$1,920,000	1991
Kendall Gill	$1,908,000	1991
Gary Payton	$1,883,000	1991
Terry Cummings	$1,861,000	1991
Mike Gminski	$1,850,000	1991
Kenny Anderson	$1,828,000	1991
Mychal Thompson	$1,807,000	1991
Sean Elliott	$1,802,000	1991
Terry Porter	$1,787,000	1991
Otis Thorpe	$1,786,000	1991
Ricky Pierce	$1,750,000	1991
James Worthy	$1,750,000	1991
A.C. Green	$1,750,000	1991
Horace Grant	$1,750,000	1991
Derek Harper	$1,725,000	1991
Buck Williams	$1,700,000	1991
Johnny Dawkins	$1,700,000	1991
Ron Harper	$1,650,000	1991
Kenny Smith	$1,633,000	1991
Xavier McDaniel	$1,625,000	1991
Fat Lever	$1,619,000	1991
Moses Malone	$1,600,000	1991
Danny Schayes	$1,600,000	1991
John Paxson	$1,600,000	1991
Luc Longley	$1,590,000	1991
Jeff Malone	$1,580,000	1991
Vinnie Johnson	$1,580,000	1991
Blair Rasmussen	$1,558,000	1991
Mark Price	$1,520,000	1991
Billy Owens	$1,509,000	1991
Sleepy Floyd	$1,500,000	1991
Doug Smith	$1,500,000	1991
Greg Anderson	$1,465,000	1991
Jeff Hornacek	$1,428,000	1991
Willie Burton	$1,402,000	1991
Kevin Gamble	$1,400,000	1991
Michael Cage	$1,390,000	1991
Terry Catledge	$1,386,000	1991
Clyde Drexler	$1,378,000	1991
Brad Lohaus	$1,377,000	1991
Drazen Petrovic	$1,375,000	1991
Bill Laimbeer	$1,369,000	1991
Larry Nance	$1,363,000	1991
Manute Bol	$1,350,000	1991
Armen Gilliam	$1,350,000	1991
Rik Smits	$1,350,000	1991
Cliff Levingston	$1,350,000	1991
Felton Spencer	$1,340,000	1991
Mark Eaton	$1,333,000	1991
Alton Lister	$1,333,000	1991
Charles Shackleford	$1,332,000	1991
Brian Shaw	$1,313,000	1991
Michael Adams	$1,309,000	1991
Glen Rice	$1,302,000	1991
Jerry Reynolds	$1,300,000	1991
Dale Ellis	$1,300,000	1991
Joe Dumars	$1,295,000	1991
Lionel Simmons	$1,289,000	1991
Detlef Schrempf	$1,278,000	1991
Sarunas Marciulionis	$1,267,000	1991
Antoine Carr	$1,263,000	1991
Sam Vincent	$1,260,000	1991
Mark Jackson	$1,250,000	1991
Randy Breuer	$1,250,000	1991
Sherman Douglas	$1,250,000	1991
J.R. Reid	$1,250,000	1991
Mark Aguirre	$1,232,000	1991
Walter Davis	$1,215,000	1991
Johnny Newman	$1,206,000	1991
Wayne Cooper	$1,200,000	1991
Tyrone Hill	$1,200,000	1991
Doc Rivers	$1,195,000	1991
Tony Campbell	$1,183,000	1991
Herb Williams	$1,183,000	1991
Mike Brown	$1,175,000	1991
Bo Kimble	$1,150,000	1991
Ken Norman	$1,150,000	1991
Alec Kessler	$1,122,000	1991
Derrick McKey	$1,112,000	1991
John Williams	$1,100,000	1991
Byron Scott	$1,100,000	1991
Stacey King	$1,100,000	1991
Dennis Rodman	$1,075,000	1991
Sidney Green	$1,063,000	1991
Frank Brickowski	$1,055,000	1991
Eddie Johnson	$1,050,000	1991
Charles Oakley	$1,050,000	1991
Charles Smith	$1,050,000	1991
Alvin Robertson	$1,033,000	1991
Rodney McCray	$1,025,000	1991
Rumeal Robinson	$1,025,000	1991
Kiki Vandeweghe	$1,020,000	1991
Dell Curry	$1,006,000	1991
Paul Pressey	$1,000,000	1991
Ron Anderson	$1,000,000	1991
Thurl Bailey	$1,000,000	1991
Loy Vaught	$1,000,000	1991
Chris Dudley	$1,000,000	1991
Travis Mays	$1,000,000	1991
Maurice Cheeks	$1,000,000	1991
Larry Smith	$997,000	1991
George McCloud	$990,000	1991
Mark West	$975,000	1991
Mark Macon	$970,000	1991
Orlando Woolridge	$957,000	1991
Mitch Richmond	$950,000	1991
Dennis Hopson	$950,000	1991
Kurt Rambis	$950,000	1991
Jeff Grayer	$950,000	1991
Joe Kleine	$950,000	1991
Roy Hinson	$943,000	1991
Vlade Divac	$942,000	1991
Rex Chapman	$940,000	1991
Jim Petersen	$936,000	1991
James Edwards	$933,000	1991
Gary Grant	$928,000	1991
Joe Barry Carroll	$925,000	1991
Craig Ehlo	$925,000	1991
Tyrone Corbin	$922,000	1991
Muggsy Bogues	$906,000	1991
Lester Conner	$900,000	1991
William Bedford	$900,000	1991
Ed Pinckney	$900,000	1991
James Donaldson	$880,000	1991
Stacey Augmon	$875,000	1991
Greg Anthony	$865,000	1991
Mike Sanders	$860,000	1991
Randy White	$855,000	1991
Darrell Griffith	$850,000	1991
Terry Mills	$850,000	1991
Dave Jamerson	$840,000	1991
Tom Hammonds	$825,000	1991
Tim McCormick	$825,000	1991
Duane Causwell	$820,000	1991
Trent Tucker	$813,000	1991
Hersey Hawkins	$805,000	1991
Gerald Wilkins	$795,000	1991
Fred Roberts	$791,000	1991
Ledell Eackles	$780,000	1991
Bison Dele	$777,000	1991
Willie Anderson	$775,000	1991
Buck Johnson	$775,000	1991
Joe Wolf	$763,000	1991
Tod Murphy	$760,000	1991
Pooh Richardson	$760,000	1991
Jay Humphries	$760,000	1991
Vern Fleming	$760,000	1991
Charles Jones	$750,000	1991
Nick Anderson	$750,000	1991
Olden Polynice	$750,000	1991
Victor Alexander	$750,000	1991
Jerrod Mustaf	$735,000	1991
Nate McMillan	$733,000	1991
Danny Ainge	$725,000	1991
Kevin Willis	$725,000	1991
Gerald Glass	$705,000	1991
Dee Brown	$705,000	1991
Andrew Lang	$700,000	1991
Greg Kite	$700,000	1991
Terry Teagle	$700,000	1991
Chris Gatling	$700,000	1991
John Battle	$700,000	1991
Craig Hodges	$700,000	1991
Tim Perry	$675,000	1991
Alexander Volkov	$675,000	1991
Darrell Walker	$665,000	1991
Stojko Vrankovic	$665,000	1991
Mike Woodson	$658,000	1991
Dwayne Schintzius	$650,000	1991
Ed Nealy	$650,000	1991
Jayson Williams	$650,000	1991
Chris Morris	$650,000	1991
Tim Hardaway	$640,000	1991
Jerome Lane	$640,000	1991
Chucky Brown	$640,000	1991
Sam Mitchell	$630,000	1991
Kevin Brooks	$625,000	1991
Michael Smith	$625,000	1991
LaBradford Smith	$620,000	1991
Eric Leckner	$618,000	1991
John Turner	$615,000	1991
Sedale Threatt	$612,000	1991
Larry Krystkowiak	$605,000	1991
Eric Murdock	$600,000	1991
Rich King	$600,000	1991
Kevin Edwards	$600,000	1991
Larry Drew	$600,000	1991
Greg Dreiling	$600,000	1991
Brad Sellers	$600,000	1991
Brad Davis	$600,000	1991
Bob Hansen	$600,000	1991
Elden Campbell	$575,000	1991
Mookie Blaylock	$575,000	1991
Anthony Bonner	$568,000	1991
Todd Lichti	$565,000	1991
Jerome Kersey	$561,000	1991
Spud Webb	$560,000	1991
Steve Kerr	$553,000	1991
Mark Alarie	$550,000	1991
Danny Young	$550,000	1991
Stanley Roberts	$550,000	1991
Jeff Turner	$550,000	1991
Randy Wittman	$550,000	1991
Rod Higgins	$550,000	1991
John Bagley	$550,000	1991
Mark Acres	$547,000	1991
Dan Majerle	$535,000	1991
Otis Smith	$525,000	1991
Winston Bennett	$525,000	1991
Terrell Brandon	$525,000	1991
Rick Fox	$525,000	1991
Stuart Gray	$520,000	1991
Bill Hanzlik	$508,000	1991
Tom Tolbert	$506,000	1991
Les Jepsen	$504,000	1991
Dave Hoppen	$500,000	1991
Dana Barros	$500,000	1991
Micheal Williams	$500,000	1991
Scott Hastings	$500,000	1991
Alex English	$500,000	1991
Will Perdue	$500,000	1991
Duane Ferrell	$500,000	1991
Alaa Abdelnaby	$494,000	1991
Tate George	$481,000	1991
Anthony Cook	$480,000	1991
Henry James	$477,000	1991
Pete Chilcutt	$475,000	1991
Cliff Robinson	$474,000	1991
Negele Knight	$469,000	1991
Brian Oliver	$456,000	1991
Kenny Gattison	$456,000	1991
Harvey Grant	$450,000	1991
Mark Bryant	$450,000	1991
Andrew Toney	$450,000	1991
Brian Quinnett	$450,000	1991
Winston Garland	$450,000	1991
John Morton	$450,000	1991
Rickey Green	$445,000	1991
BJ Armstrong	$435,000	1991
Shawn Kemp	$430,000	1991
Dale Davis	$430,000	1991
Quintin Dailey	$425,000	1991
Reggie Williams	$425,000	1991
Lance Blanks	$415,000	1991
Kenny Payne	$410,000	1991
Rod Strickland	$400,000	1991
John Starks	$400,000	1991
Scott Brooks	$400,000	1991
Tony Smith	$400,000	1991
Mike Holton	$400,000	1991
Blue Edwards	$390,000	1991
Jeff Sanders	$385,000	1991
Terry Davis	$382,000	1991
Tree Rollins	$375,000	1991
Steve Henson	$350,000	1991
Scott Williams	$350,000	1991
Greg Foster	$339,000	1991
Mitchell Wiggins	$335,000	1991
Bob Thornton	$335,000	1991
Jon Sundvold	$333,000	1991
A.J. English	$325,000	1991
Carl Herrera	$325,000	1991
Vernon Maxwell	$325,000	1991
Jim Les	$323,000	1991
Rafael Addison	$311,000	1991
Doug West	$310,000	1991
Dave Corzine	$300,000	1991
Jack Haley	$300,000	1991
Ken Bannister	$300,000	1991
Kevin Pritchard	$288,000	1991
Walter Palmer	$275,000	1991
Kenny Williams	$275,000	1991
Matt Bullard	$275,000	1991
Ian Lockhart	$263,000	1991
Marcus Liberty	$260,000	1991
Grant Long	$252,000	1991
Haywoode Workman	$250,000	1991
David Wingate	$250,000	1991
Andy Toolson	$250,000	1991
Cedric Ceballos	$250,000	1991
Mark Hughes	$250,000	1991
Kelvin Upshaw	$250,000	1991
John Shasky	$250,000	1991
Delaney Rudd	$240,000	1991
David Benoit	$230,000	1991
Jim Paxson	$225,000	1991
Rodney Monroe	$217,000	1991
Bimbo Coles	$212,000	1991
Randy Brown	$210,000	1991
Anthony Mason	$210,000	1991
Alan Ogg	$202,000	1991
Keith Askins	$202,000	1991
Tony Massenburg	$200,000	1991
Tom Garrick	$200,000	1991
Myron Brown	$200,000	1991
Jimmy Oliver	$200,000	1991
Mike Iuzzolino	$185,000	1991
LeRon Ellis	$180,000	1991
Mark Randall	$180,000	1991
Greg Sutton	$175,000	1991
Jawann Oldham	$175,000	1991
Tom Copa	$160,000	1991
Lamont Strothers	$150,000	1991
Doug Lee	$150,000	1991
Vincent Askew	$135,000	1991
Dave Feitl	$135,000	1991
Larry Stewart	$130,000	1991
Andre Turner	$130,000	1991
Isaac Austin	$130,000	1991
Corey Crowder	$130,000	1991
Morlon Wiley	$130,000	1991
Donald Royal	$130,000	1991
Robert Pack	$130,000	1991
Ennis Whatley	$130,000	1991
Tharon Mayes	$130,000	1991
Robert Reid	$130,000	1991
Derek Strong	$130,000	1991
Marty Conlon	$130,000	1991
Bart Kofoed	$130,000	1991
Patrick Eddie	$130,000	1991
Bobby Phills	$130,000	1991
Keith Owens	$130,000	1991
Tony Brown	$130,000	1991
Lanard Copeland	$130,000	1991
Elliot Perry	$130,000	1991
Sean Green	$130,000	1991
Mario Elie	$130,000	1991
Charles Thomas	$130,000	1991
Bob McCann	$130,000	1991
Donald Hodge	$130,000	1991
Darnell Valentine	$130,000	1991
Anthony Frederick	$130,000	1991
A.J. Wynder	$130,000	1991
Gary Leonard	$130,000	1991
Rory Sparrow	$126,000	1991
Paul Graham	$125,000	1991
Kennard Winchester	$120,000	1991
Chuck Nevitt	$118,000	1991
Dan Godfread	$100,000	1991
David Robinson	$5,720,000	1992
Michael Jordan	$4,000,000	1992
Hot Rod Williams	$3,786,000	1992
Vlade Divac	$3,633,000	1992
Robert Parish	$3,513,000	1992
Kevin McHale	$3,500,000	1992
Dominique Wilkins	$3,500,000	1992
Scottie Pippen	$3,425,000	1992
Reggie Lewis	$3,320,000	1992
Patrick Ewing	$3,300,000	1992
Reggie Miller	$3,211,000	1992
Benoit Benjamin	$3,175,000	1992
Hakeem Olajuwon	$3,170,000	1992
Danny Ferry	$3,143,000	1992
Sam Perkins	$3,047,000	1992
Shaquille O'Neal	$3,000,000	1992
Brad Daugherty	$2,923,000	1992
Derrick Coleman	$2,870,000	1992
Karl Malone	$2,854,000	1992
Chris Mullin	$2,844,000	1992
Larry Nance	$2,775,000	1992
Ralph Sampson	$2,685,000	1992
Jerome Kersey	$2,655,000	1992
Danny Manning	$2,600,000	1992
Sam Bowie	$2,600,000	1992
Larry Johnson	$2,540,000	1992
Bernard King	$2,500,000	1992
Magic Johnson	$2,500,000	1992
Jon Koncak	$2,450,000	1992
Kevin Willis	$2,425,000	1992
Charles Barkley	$2,420,000	1992
Terry Cummings	$2,407,000	1992
Hersey Hawkins	$2,400,000	1992
Dennis Scott	$2,400,000	1992
Dikembe Mutombo	$2,400,000	1992
Alonzo Mourning	$2,400,000	1992
Rony Seikaly	$2,382,000	1992
Kenny Anderson	$2,376,000	1992
Mahmoud Abdul-Rauf	$2,358,000	1992
Dennis Rodman	$2,350,000	1992
Wayman Tisdale	$2,333,000	1992
Pervis Ellison	$2,300,000	1992
Armen Gilliam	$2,300,000	1992
Larry Bird	$2,300,000	1992
Isiah Thomas	$2,272,000	1992
Steve Smith	$2,252,000	1992
Moses Malone	$2,230,000	1992
Ron Harper	$2,220,000	1992
Kevin Duckworth	$2,213,000	1992
John Stockton	$2,200,000	1992
Terry Porter	$2,200,000	1992
Bill Cartwright	$2,200,000	1992
Gary Payton	$2,183,000	1992
Chuck Person	$2,156,000	1992
Otis Thorpe	$2,102,000	1992
Christian Laettner	$2,100,000	1992
Willie Anderson	$2,075,000	1992
Derek Harper	$2,069,000	1992
Mike Sanders	$2,010,000	1992
Rex Chapman	$2,004,000	1992
John Salley	$2,002,000	1992
Ricky Pierce	$2,000,000	1992
LaSalle Thompson	$2,000,000	1992
Rik Smits	$2,000,000	1992
Blair Rasmussen	$1,988,000	1992
Kenny Smith	$1,983,000	1992
Jeff Malone	$1,980,000	1992
Billy Owens	$1,962,000	1992
Kendall Gill	$1,908,000	1992
Johnny Dawkins	$1,900,000	1992
Stanley Roberts	$1,900,000	1992
LaPhonso Ellis	$1,900,000	1992
Horace Grant	$1,900,000	1992
Tom Chambers	$1,885,000	1992
Sherman Douglas	$1,869,000	1992
Xavier McDaniel	$1,869,000	1992
Buck Williams	$1,850,000	1992
Kevin Johnson	$1,850,000	1992
James Worthy	$1,850,000	1992
Doug Smith	$1,845,000	1992
Cliff Robinson	$1,805,000	1992
Sean Elliott	$1,802,000	1992
Fat Lever	$1,802,000	1992
Jay Humphries	$1,800,000	1992
Frank Brickowski	$1,800,000	1992
Mark Jackson	$1,790,000	1992
Micheal Williams	$1,775,000	1992
A.C. Green	$1,750,000	1992
Charles Shackleford	$1,720,000	1992
